image_path,Species,Sampling_Date,State,Height_Ave_cm,Pre_GSHH_NDVI,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,is_synthetic,source_image,aug_strength,prompt_used
train/ID1011485656.jpg,Ryegrass_Clover,2015/9/4,Tas,4.6667,0.62,0.0,31.9984,16.2751,48.2735,16.275,False,train/ID1011485656.jpg,0.0,
train/ID1012260530.jpg,Lucerne,2015/4/1,NSW,16.0,0.55,0.0,0.0,7.6,7.6,7.6,False,train/ID1012260530.jpg,0.0,
train/ID1025234388.jpg,SubcloverDalkeith,2015/9/1,WA,1.0,0.38,6.05,0.0,0.0,6.05,6.05,False,train/ID1025234388.jpg,0.0,
train/ID1028611175.jpg,Ryegrass,2015/5/18,Tas,5.0,0.66,0.0,30.9703,24.2376,55.2079,24.2376,False,train/ID1028611175.jpg,0.0,
train/ID1035947949.jpg,Ryegrass,2015/9/11,Tas,3.5,0.54,0.4343,23.2239,10.5261,34.1844,10.9605,False,train/ID1035947949.jpg,0.0,
train/ID1036339023.jpg,Phalaris_Clover,2015/9/30,Vic,7.0,0.82,23.0755,2.6135,32.191,57.88,55.2665,False,train/ID1036339023.jpg,0.0,
train/ID1049634115.jpg,Ryegrass_Clover,2015/7/2,Vic,2.0,0.72,1.5083,3.0167,13.575,18.1,15.0833,False,train/ID1049634115.jpg,0.0,
train/ID1051144034.jpg,SubcloverLosa,2015/9/1,WA,1.0,0.8,55.32,0.0,0.0,55.32,55.32,False,train/ID1051144034.jpg,0.0,
train/ID1052620238.jpg,Ryegrass,2015/5/18,Tas,5.0,0.68,0.0,11.2291,20.1707,31.3998,20.1707,False,train/ID1052620238.jpg,0.0,
train/ID105271783.jpg,Phalaris_Clover,2015/6/30,Vic,4.0,0.86,5.2698,8.5635,27.6667,41.5,32.9365,False,train/ID105271783.jpg,0.0,
train/ID1053972079.jpg,Clover,2015/9/4,Tas,2.5,0.56,21.0801,7.9393,1.3688,30.3882,22.4489,False,train/ID1053972079.jpg,0.0,
train/ID1058383417.jpg,Ryegrass_Clover,2015/5/19,Tas,2.0,0.62,0.1,9.5,13.1,22.7,13.2,False,train/ID1058383417.jpg,0.0,
train/ID1062837331.jpg,Ryegrass_Clover,2015/9/29,Vic,9.0,0.82,19.98,3.9623,35.4077,59.35,55.3877,False,train/ID1062837331.jpg,0.0,
train/ID1070112260.jpg,Fescue_CrumbWeed,2015/1/15,NSW,6.0,0.6,0.0,9.8765,22.1235,32.0,22.1235,False,train/ID1070112260.jpg,0.0,
train/ID1078930021.jpg,Phalaris_Ryegrass_Clover,2015/6/26,Vic,5.0,0.86,0.0,5.0189,32.9811,38.0,32.9811,False,train/ID1078930021.jpg,0.0,
train/ID1084819986.jpg,Clover,2015/9/4,Tas,3.1667,0.69,21.4551,13.0742,2.6819,37.2112,24.137,False,train/ID1084819986.jpg,0.0,
train/ID1088965591.jpg,Lucerne,2015/4/1,NSW,43.0,0.89,0.0,0.3443,59.5557,59.9,59.5557,False,train/ID1088965591.jpg,0.0,
train/ID1098771283.jpg,Clover,2015/11/9,Tas,2.6667,0.48,8.376,15.1673,0.4528,23.9961,8.8287,False,train/ID1098771283.jpg,0.0,
train/ID1103883611.jpg,Phalaris,2015/2/24,NSW,26.0,0.48,0.0,12.9166,82.7834,95.7,82.7834,False,train/ID1103883611.jpg,0.0,
train/ID1108283583.jpg,Phalaris_Ryegrass_Clover,2015/8/19,Vic,5.5,0.83,5.773,7.2162,40.4108,53.4,46.1838,False,train/ID1108283583.jpg,0.0,
train/ID1113121340.jpg,Phalaris_Clover,2015/9/30,Vic,16.0,0.8,0.2931,11.6271,82.6598,94.58,82.9529,False,train/ID1113121340.jpg,0.0,
train/ID1113329413.jpg,WhiteClover,2015/6/29,Tas,3.0,0.72,20.6523,21.1112,1.3768,43.1403,22.0291,False,train/ID1113329413.jpg,0.0,
train/ID1119739385.jpg,Ryegrass,2015/5/18,Tas,4.0,0.28,0.0,3.0,6.8,9.8,6.8,False,train/ID1119739385.jpg,0.0,
train/ID1119761112.jpg,Fescue,2015/5/7,NSW,4.0,0.42,0.0,32.4486,22.9514,55.4,22.9514,False,train/ID1119761112.jpg,0.0,
train/ID1121692672.jpg,Phalaris,2015/2/24,NSW,38.0,0.52,0.0,1.3958,109.8042,111.2,109.8042,False,train/ID1121692672.jpg,0.0,
train/ID1127246618.jpg,Ryegrass,2015/5/18,Tas,7.0,0.77,3.0196,25.8824,32.3529,61.2549,35.3725,False,train/ID1127246618.jpg,0.0,
train/ID112966473.jpg,Ryegrass_Clover,2015/8/14,Vic,3.0,0.74,11.2,2.8,19.6,33.6,30.8,False,train/ID112966473.jpg,0.0,
train/ID1131079710.jpg,Clover,2015/11/9,Tas,1.5,0.57,15.4794,11.119,1.5261,28.1246,17.0055,False,train/ID1131079710.jpg,0.0,
train/ID1136169672.jpg,Ryegrass,2015/5/18,Tas,5.0,0.62,0.0,6.808,16.3107,23.1187,16.3108,False,train/ID1136169672.jpg,0.0,
train/ID1139866256.jpg,Fescue,2015/5/7,NSW,13.0,0.66,0.0,83.8407,74.0593,157.9,74.0593,False,train/ID1139866256.jpg,0.0,
train/ID1139918758.jpg,Clover,2015/8/21,WA,3.0,0.79,58.34,0.0,0.0,58.34,58.34,False,train/ID1139918758.jpg,0.0,
train/ID1140993511.jpg,Ryegrass_Clover,2015/8/14,Vic,2.0,0.71,4.6,2.3,16.1,23.0,20.7,False,train/ID1140993511.jpg,0.0,
train/ID1148528732.jpg,Phalaris_Clover,2015/8/18,Vic,3.2,0.86,12.4113,0.0,28.0887,40.5,40.5,False,train/ID1148528732.jpg,0.0,
